make,model,year,yin,color
Chevrolet Chevelle Malibu,18.0,8,307.0,130.0
Buick Skylark 320,15.0,8,350.0,165.0
Plymouth Satellite,18.0,8,318.0,150.0
AMC Rebel SST,16.0,8,304.0,150.0
Ford Torino,17.0,8,302.0,140.0
Ford Galaxie 500,15.0,8,429.0,198.0
Chevrolet Impala,14.0,8,454.0,220.0
Plymouth Fury iii,14.0,8,440.0,215.0
Pontiac Catalina,14.0,8,455.0,225.0
AMC Ambassador DPL,15.0,8,390.0,190.0
Citroen DS-21 Pallas,0,4,133.0,115.0
Chevrolet Chevelle Concours (sw),0,8,350.0,165.0
Ford Torino (sw),0,8,351.0,153.0
Plymouth Satellite (sw),0,8,383.0,175.0
AMC Rebel SST (sw),0,8,360.0,175.0
Dodge Challenger SE,15.0,8,383.0,170.0
Plymouth 'Cuda 340,14.0,8,340.0,160.0
Ford Mustang Boss 302,0,8,302.0,140.0
Chevrolet Monte Carlo,15.0,8,400.0,150.0
Buick Estate Wagon (sw),14.0,8,455.0,225.0
Toyota Corolla Mark ii,24.0,4,113.0,95.00
Plymouth Duster,22.0,6,198.0,95.00
AMC Hornet,18.0,6,199.0,97.00
Ford Maverick,21.0,6,200.0,85.00
Datsun PL510,27.0,4,97.00,88.00
Volkswagen 1131 Deluxe Sedan,26.0,4,97.00,46.00
Peugeot 504,25.0,4,110.0,87.00
Audi 100 LS,24.0,4,107.0,90.00
Saab 99e,25.0,4,104.0,95.00
BMW 2002,26.0,4,121.0,113.0
AMC Gremlin,21.0,6,199.0,90.00
Ford F250,10.0,8,360.0,215.0
Chevy C20,10.0,8,307.0,200.0
Dodge D200,11.0,8,318.0,210.0
Hi 1200D,9.0,8,304.0,193.0
Datsun PL510,27.0,4,97.00,88.00
Chevrolet Vega 2300,28.0,4,140.0,90.00
Toyota Corolla,25.0,4,113.0,95.00
Ford Pinto,25.0,4,98.00,0
Volkswagen Super Beetle 117,0,4,97.00,48.00
AMC Gremlin,19.0,6,232.0,100.0
Plymouth Satellite Custom,16.0,6,225.0,105.0
Chevrolet Chevelle Malibu,17.0,6,250.0,100.0
Ford Torino 500,19.0,6,250.0,88.00
AMC Matador,18.0,6,232.0,100.0
Chevrolet Impala,14.0,8,350.0,165.0
Pontiac Catalina Brougham,14.0,8,400.0,175.0
Ford Galaxie 500,14.0,8,351.0,153.0
Plymouth Fury iii,14.0,8,318.0,150.0
Dodge Monaco (sw),12.0,8,383.0,180.0
Ford Country Squire (sw),13.0,8,400.0,170.0
Pontiac Safari (sw),13.0,8,400.0,175.0
AMC Hornet Sportabout (sw),18.0,6,258.0,110.0
Chevrolet Vega (sw),22.0,4,140.0,72.00
Pontiac Firebird,19.0,6,250.0,100.0
Ford Mustang,18.0,6,250.0,88.00
Mercury Capri 2000,23.0,4,122.0,86.00
Opel 1900,28.0,4,116.0,90.00
Peugeot 304,30.0,4,79.00,70.00
Fiat 124B,30.0,4,88.00,76.00
Toyota Corolla 1200,31.0,4,71.00,65.00
Datsun 1200,35.0,4,72.00,69.00
Volkswagen Model 111,27.0,4,97.00,60.00
Plymouth Cricket,26.0,4,91.00,70.00
Toyota Corolla Hardtop,24.0,4,113.0,95.00
Dodge Colt Hardtop,25.0,4,97.50,80.00
Volkswagen Type 3,23.0,4,97.00,54.00
Chevrolet Vega,20.0,4,140.0,90.00
Ford Pinto Runabout,21.0,4,122.0,86.00
Chevrolet Impala,13.0,8,350.0,165.0
Pontiac Catalina,14.0,8,400.0,175.0
Plymouth Fury III,15.0,8,318.0,150.0
Ford Galaxie 500,14.0,8,351.0,153.0
AMC Ambassador SST,17.0,8,304.0,150.0
Mercury Marquis,11.0,8,429.0,208.0
Buick LeSabre Custom,13.0,8,350.0,155.0
Oldsmobile Delta 88 Royale,12.0,8,350.0,160.0
Chrysler Newport Royal,13.0,8,400.0,190.0
Mazda RX2 Coupe,19.0,3,70.00,97.00
AMC Matador (sw),15.0,8,304.0,150.0
Chevrolet Chevelle Concours (sw),13.0,8,307.0,130.0
Ford Gran Torino (sw),13.0,8,302.0,140.0
Plymouth Satellite Custom (sw),14.0,8,318.0,150.0
Volvo 145e (sw),18.0,4,121.0,112.0
Volkswagen 411 (sw),22.0,4,121.0,76.00
Peugeot 504 (sw),21.0,4,120.0,87.00
Renault 12 (sw),26.0,4,96.00,69.00
Ford Pinto (sw),22.0,4,122.0,86.00
Datsun 510 (sw),28.0,4,97.00,92.00
Toyota Corolla Mark II (sw),23.0,4,120.0,97.00
Dodge Colt (sw),28.0,4,98.00,80.00
Toyota Corolla 1600 (sw),27.0,4,97.00,88.00
Buick Century 350,13.0,8,350.0,175.0
AMC Matador,14.0,8,304.0,150.0
Chevrolet Malibu,13.0,8,350.0,145.0
Ford Gran Torino,14.0,8,302.0,137.0
Dodge Coronet Custom,15.0,8,318.0,150.0
Mercury Marquis Brougham,12.0,8,429.0,198.0
Chevrolet Caprice Classic,13.0,8,400.0,150.0
Ford LTD,13.0,8,351.0,158.0
Plymouth Fury Gran Sedan,14.0,8,318.0,150.0
Chrysler New Yorker Brougham,13.0,8,440.0,215.0
Buick Electra 225 Custom,12.0,8,455.0,225.0
AMC Ambassador Brougham,13.0,8,360.0,175.0
Plymouth Valiant,18.0,6,225.0,105.0
Chevrolet Nova Custom,16.0,6,250.0,100.0
AMC Hornet,18.0,6,232.0,100.0
Ford Maverick,18.0,6,250.0,88.00
Plymouth Duster,23.0,6,198.0,95.00
Volkswagen Super Beetle,26.0,4,97.00,46.00
Chevrolet Impala,11.0,8,400.0,150.0
Ford Country,12.0,8,400.0,167.0
Plymouth Custom Suburb,13.0,8,360.0,170.0
Oldsmobile Vista Cruiser,12.0,8,350.0,180.0
AMC Gremlin,18.0,6,232.0,100.0
Toyota Camry,20.0,4,97.00,88.00
Chevrolet Vega,21.0,4,140.0,72.00
Datsun 610,22.0,4,108.0,94.00
Mazda RX3,18.0,3,70.00,90.00
Ford Pinto,19.0,4,122.0,85.00
Mercury Capri v6,21.0,6,155.0,107.0
Fiat 124 Sport Coupe,26.0,4,98.00,90.00
Chevrolet Monte Carlo S,15.0,8,350.0,145.0
Pontiac Grand Prix,16.0,8,400.0,230.0
Fiat 128,29.0,4,68.00,49.00
Opel Manta,24.0,4,116.0,75.00
Audi 100LS,20.0,4,114.0,91.00
Volvo 144ea,19.0,4,121.0,112.0
Dodge Dart Custom,15.0,8,318.0,150.0
Saab 99le,24.0,4,121.0,110.0
Toyota Mark II,20.0,6,156.0,122.0
Oldsmobile Omega,11.0,8,350.0,180.0
Plymouth Duster,20.0,6,198.0,95.00
Ford Maverick,21.0,6,200.0,0
AMC Hornet,19.0,6,232.0,100.0
Chevrolet Nova,15.0,6,250.0,100.0
Datsun B210,31.0,4,79.00,67.00
Ford Pinto,26.0,4,122.0,80.00
Toyota Corolla 1200,32.0,4,71.00,65.00
Chevrolet Vega,25.0,4,140.0,75.00
Chevrolet Chevelle Malibu Classic,16.0,6,250.0,100.0
AMC Matador,16.0,6,258.0,110.0
Plymouth Satellite Sebring,18.0,6,225.0,105.0
Ford Gran Torino,16.0,8,302.0,140.0
Buick Century Luxus (sw),13.0,8,350.0,150.0
Dodge Coronet Custom (sw),14.0,8,318.0,150.0
Ford Gran Torino (sw),14.0,8,302.0,140.0
AMC Matador (sw),14.0,8,304.0,150.0
Audi Fox,29.0,4,98.00,83.00
Volkswagen Dasher,26.0,4,79.00,67.00
Opel Manta,26.0,4,97.00,78.00
Toyota Corolla,31.0,4,76.00,52.00
Datsun 710,32.0,4,83.00,61.00
Dodge Colt,28.0,4,90.00,75.00
Fiat 128,24.0,4,90.00,75.00
Fiat 124 TC,26.0,4,116.0,75.00
Honda Civic,24.0,4,120.0,97.00
Subaru,26.0,4,108.0,93.00
Fiat x1.9,31.0,4,79.00,67.00
Plymouth Valiant Custom,19.0,6,225.0,95.00
Chevrolet Nova,18.0,6,250.0,105.0
Mercury Monarch,15.0,6,250.0,72.00
Ford Maverick,15.0,6,250.0,72.00
Pontiac Catalina,16.0,8,400.0,170.0
Chevrolet Bel Air,15.0,8,350.0,145.0
Plymouth Grand Fury,16.0,8,318.0,150.0
Ford LTD,14.0,8,351.0,148.0
Buick Century,17.0,6,231.0,110.0
Chevrolete Chevelle Malibu,16.0,6,250.0,105.0
AMC Matador,15.0,6,258.0,110.0
Plymouth Fury,18.0,6,225.0,95.00
Buick Skyhawk,21.0,6,231.0,110.0
Chevrolet Monza 2+2,20.0,8,262.0,110.0
Ford Mustang II,13.0,8,302.0,129.0
Toyota Corolla,29.0,4,97.00,75.00
Ford Pinto,23.0,4,140.0,83.00
AMC Gremlin,20.0,6,232.0,100.0
Pontiac Astro,23.0,4,140.0,78.00
Toyota Corolla,24.0,4,134.0,96.00
Volkswagen Dasher,25.0,4,90.00,71.00
Datsun 710,24.0,4,119.0,97.00
Ford Pinto,18.0,6,171.0,97.00
Volkswagen Rabbit,29.0,4,90.00,70.00
AMC Pacer,19.0,6,232.0,90.00
Audi 100LS,23.0,4,115.0,95.00
Peugeot 504,23.0,4,120.0,88.00
Volvo 244DL,22.0,4,121.0,98.00
Saab 99LE,25.0,4,121.0,115.0
Honda Civic CVCC,33.0,4,91.00,53.00
Fiat 131,28.0,4,107.0,86.00
Opel 1900,25.0,4,116.0,81.00
Capri ii,25.0,4,140.0,92.00
Dodge Colt,26.0,4,98.00,79.00
Renault 12tl,27.0,4,101.0,83.00
Chevrolet Chevelle Malibu Classic,17.5,8,305.0,140.0
Dodge Coronet Brougham,16.0,8,318.0,150.0
AMC Matador,15.5,8,304.0,120.0
Ford Gran Torino,14.5,8,351.0,152.0
Plymouth Valiant,22.0,6,225.0,100.0
Chevrolet Nova,22.0,6,250.0,105.0
Ford Maverick,24.0,6,200.0,81.00
AMC Hornet,22.5,6,232.0,90.00
Chevrolet Chevette,29.0,4,85.00,52.00
Chevrolet Woody,24.5,4,98.00,60.00
Volkswagen Rabbit,29.0,4,90.00,70.00
Honda Civic,33.0,4,91.00,53.00
Dodge Aspen SE,20.0,6,225.0,100.0
Ford Grenada ghia,18.0,6,250.0,78.00
Pontiac Ventura SJ,18.5,6,250.0,110.0
AMC Pacer d/l,17.5,6,258.0,95.00
Volkswagen Rabbit,29.5,4,97.00,71.00
Datsun B-210,32.0,4,85.00,70.00
Toyota Corolla,28.0,4,97.00,75.00
Ford Pinto,26.5,4,140.0,72.00
Volvo 245,20.0,4,130.0,102.0
Plymouth Volare Premier v8,13.0,8,318.0,150.0
Peugeot 504,19.0,4,120.0,88.00
Toyota Mark II,19.0,6,156.0,108.0
Mercedes-Benz 280s,16.5,6,168.0,120.0
Cadillac Seville,16.5,8,350.0,180.0
Chevrolet C10,13.0,8,350.0,145.0
Ford F108,13.0,8,302.0,130.0
Dodge D100,13.0,8,318.0,150.0
Honda Accord CVCC,31.5,4,98.00,68.00
Buick Opel Isuzu Deluxe,30.0,4,111.0,80.00
Renault 5 GTL,36.0,4,79.00,58.00
Plymouth Arrow GS,25.5,4,122.0,96.00
Datsun F-10 Hatchback,33.5,4,85.00,70.00
Chevrolet Caprice Classic,17.5,8,305.0,145.0
Oldsmobile Cutlass Supreme,17.0,8,260.0,110.0
Dodge Monaco Brougham,15.5,8,318.0,145.0
Mercury Cougar Brougham,15.0,8,302.0,130.0
Chevrolet Concours,17.5,6,250.0,110.0
Buick Skylark,20.5,6,231.0,105.0
Plymouth Volare Custom,19.0,6,225.0,100.0
Ford Grenada,18.5,6,250.0,98.00
Pontiac Grand Prix LJ,16.0,8,400.0,180.0
Chevrolet Monte Carlo Landau,15.5,8,350.0,170.0
Chrysler Cordoba,15.5,8,400.0,190.0
Ford Thunderbird,16.0,8,351.0,149.0
Volkswagen Rabbit Custom,29.0,4,97.00,78.00
Pontiac Sunbird Coupe,24.5,4,151.0,88.00
Toyota Corolla Liftback,26.0,4,97.00,75.00
Ford Mustang II 2+2,25.5,4,140.0,89.00
Chevrolet Chevette,30.5,4,98.00,63.00
Dodge Colt m/m,33.5,4,98.00,83.00
Subaru DL,30.0,4,97.00,67.00
Volkswagen Dasher,30.5,4,97.00,78.00
Datsun 810,22.0,6,146.0,97.00
BMW 320i,21.5,4,121.0,110.0
Mazda RX-4,21.5,3,80.00,110.0
Volkswagen Rabbit Custom Diesel,43.1,4,90.00,48.00
Ford Fiesta,36.1,4,98.00,66.00
Mazda GLC Deluxe,32.8,4,78.00,52.00
Datsun B210 GX,39.4,4,85.00,70.00
Honda Civic CVCC,36.1,4,91.00,60.00
Oldsmobile Cutlass Salon Brougham,19.9,8,260.0,110.0
Dodge Diplomat,19.4,8,318.0,140.0
Mercury Monarch ghia,20.2,8,302.0,139.0
Pontiac Phoenix LJ,19.2,6,231.0,105.0
Chevrolet Malibu,20.5,6,200.0,95.00
Ford Fairmont (auto),20.2,6,200.0,85.00
Ford Fairmont (man),25.1,4,140.0,88.00
Plymouth Volare,20.5,6,225.0,100.0
AMC Concord,19.4,6,232.0,90.00
Buick Century Special,20.6,6,231.0,105.0
Mercury Zephyr,20.8,6,200.0,85.00
Dodge Aspen,18.6,6,225.0,110.0
AMC Concord d/l,18.1,6,258.0,120.0
Chevrolet Monte Carlo Landau,19.2,8,305.0,145.0
Buick Regal Sport Coupe (turbo),17.7,6,231.0,165.0
Ford Futura,18.1,8,302.0,139.0
Dodge Magnum XE,17.5,8,318.0,140.0
Chevrolet Chevette,30.0,4,98.00,68.00
Toyota Corolla,27.5,4,134.0,95.00
Datsun 510,27.2,4,119.0,97.00
Dodge Omni,30.9,4,105.0,75.00
Toyota Celica GT Liftback,21.1,4,134.0,95.00
Plymouth Sapporo,23.2,4,156.0,105.0
Oldsmobile Starfire SX,23.8,4,151.0,85.00
Datsun 200-SX,23.9,4,119.0,97.00
Audi 5000,20.3,5,131.0,103.0
Volvo 264gl,17.0,6,163.0,125.0
Saab 99gle,21.6,4,121.0,115.0
Peugeot 604sl,16.2,6,163.0,133.0
Volkswagen Scirocco,31.5,4,89.00,71.00
Honda Accord LX,29.5,4,98.00,68.00
Pontiac Lemans V6,21.5,6,231.0,115.0
Mercury Zephyr 6,19.8,6,200.0,85.00
Ford Fairmont 4,22.3,4,140.0,88.00
AMC Concord DL 6,20.2,6,232.0,90.00
Dodge Aspen 6,20.6,6,225.0,110.0
Chevrolet Caprice Classic,17.0,8,305.0,130.0
Ford LTD Landau,17.6,8,302.0,129.0
Mercury Grand Marquis,16.5,8,351.0,138.0
Dodge St. Regis,18.2,8,318.0,135.0
Buick Estate Wagon (sw),16.9,8,350.0,155.0
Ford Country Squire (sw),15.5,8,351.0,142.0
Chevrolet Malibu Classic (sw),19.2,8,267.0,125.0
Chrysler Lebaron Town @ Country (sw),18.5,8,360.0,150.0
Volkswagen Rabbit Custom,31.9,4,89.00,71.00
Mazda GLC Deluxe,34.1,4,86.00,65.00
Dodge Colt Hatchback Custom,35.7,4,98.00,80.00
AMC Spirit DL,27.4,4,121.0,80.00
Mercedes Benz 300d,25.4,5,183.0,77.00
Cadillac Eldorado,23.0,8,350.0,125.0
Peugeot 504,27.2,4,141.0,71.00
Oldsmobile Cutlass Salon Brougham,23.9,8,260.0,90.00
Plymouth Horizon,34.2,4,105.0,70.00
Plymouth Horizon TC3,34.5,4,105.0,70.00
Datsun 210,31.8,4,85.00,65.00
Fiat Strada Custom,37.3,4,91.00,69.00
Buick Skylark Limited,28.4,4,151.0,90.00
Chevrolet Citation,28.8,6,173.0,115.0
Oldsmobile Omega Brougham,26.8,6,173.0,115.0
Pontiac Phoenix,33.5,4,151.0,90.00
Volkswagen Rabbit,41.5,4,98.00,76.00
Toyota Corolla Tercel,38.1,4,89.00,60.00
Chevrolet Chevette,32.1,4,98.00,70.00
Datsun 310,37.2,4,86.00,65.00
Chevrolet Citation,28.0,4,151.0,90.00
Ford Fairmont,26.4,4,140.0,88.00
AMC Concord,24.3,4,151.0,90.00
Dodge Aspen,19.1,6,225.0,90.00
Audi 4000,34.3,4,97.00,78.00
Toyota Corolla Liftback,29.8,4,134.0,90.00
Mazda 626,31.3,4,120.0,75.00
Datsun 510 Hatchback,37.0,4,119.0,92.00
Toyota Corolla,32.2,4,108.0,75.00
Mazda GLC,46.6,4,86.00,65.00
Dodge Colt,27.9,4,156.0,105.0
Datsun 210,40.8,4,85.00,65.00
Volkswagen Rabbit C (Diesel),44.3,4,90.00,48.00
Volkswagen Dasher (diesel),43.4,4,90.00,48.00
Audi 5000s (diesel),36.4,5,121.0,67.00
Mercedes-Benz 240d,30.0,4,146.0,67.00
Honda Civic 1500 gl,44.6,4,91.00,67.00
Renault Lecar Deluxe,40.9,4,85.00,0
Subaru DL,33.8,4,97.00,67.00
Volkswagen Rabbit,29.8,4,89.00,62.00
Datsun 280-ZX,32.7,6,168.0,132.0
Mazda RX-7 GS,23.7,3,70.00,100.0
Triumph TR7 Coupe,35.0,4,122.0,88.00
Ford Mustang Cobra,23.6,4,140.0,0
Honda Accord,32.4,4,107.0,72.00
Plymouth Reliant,27.2,4,135.0,84.00
Buick Skylark,26.6,4,151.0,84.00
Dodge Aries Wagon (sw),25.8,4,156.0,92.00
Chevrolet Citation,23.5,6,173.0,110.0
Plymouth Reliant,30.0,4,135.0,84.00
Toyota Starlet,39.1,4,79.00,58.00
Plymouth Champ,39.0,4,86.00,64.00
Honda Civic 1300,35.1,4,81.00,60.00
Subaru,32.3,4,97.00,67.00
Datsun 210 MPG,37.0,4,85.00,65.00
Toyota Tercel,37.7,4,89.00,62.00
Mazda GLC 4,34.1,4,91.00,68.00
Plymouth Horizon 4,34.7,4,105.0,63.00
Ford Escort 4W,34.4,4,98.00,65.00
Ford Escort 2H,29.9,4,98.00,65.00
Volkswagen Jetta,33.0,4,105.0,74.00
Renault 18i,34.5,4,100.0,0
Honda Prelude,33.7,4,107.0,75.00
Toyota Corolla,32.4,4,108.0,75.00
Datsun 200SX,32.9,4,119.0,100.0
Mazda 626,31.6,4,120.0,74.00
Peugeot 505s Turbo Diesel,28.1,4,141.0,80.00
Saab 900s,0,4,121.0,110.0
Volvo Diesel,30.7,6,145.0,76.00
Toyota Cressida,25.4,6,168.0,116.0
Datsun 810 Maxima,24.2,6,146.0,120.0
Buick Century,22.4,6,231.0,110.0
Oldsmobile Cutlass LS,26.6,8,350.0,105.0
Ford Grenada gl,20.2,6,200.0,88.00
Chrysler Lebaron Salon,17.6,6,225.0,85.00
Chevrolet Cavalier,28.0,4,112.0,88.00
Chevrolet Cavalier Wagon,27.0,4,112.0,88.00
Chevrolet Cavalier 2-door,34.0,4,112.0,88.00
Pontiac J2000 SE Hatchback,31.0,4,112.0,85.00
Dodge Aries SE,29.0,4,135.0,84.00
Pontiac Phoenix,27.0,4,151.0,90.00
Ford Fairmont Futura,24.0,4,140.0,92.00
AMC Concord DL,23.0,4,151.0,0
Volkswagen Rabbit l,36.0,4,105.0,74.00
Mazda GLC Custom l,37.0,4,91.00,68.00
Mazda GLC Custom,31.0,4,91.00,68.00
Plymouth Horizon Miser,38.0,4,105.0,63.00
Mercury Lynx l,36.0,4,98.00,70.00
Nissan Stanza XE,36.0,4,120.0,88.00
Honda Accord,36.0,4,107.0,75.00
Toyota Corolla,34.0,4,108.0,70.00
Honda Civic,38.0,4,91.00,67.00
Honda Civic (auto),32.0,4,91.00,67.00
Datsun 310 GX,38.0,4,91.00,67.00
Buick Century Limited,25.0,6,181.0,110.0
Oldsmobile Cutlass Ciera (diesel),38.0,6,262.0,85.00
Chrysler Lebaron Medallion,26.0,4,156.0,92.00
Ford Grenada l,22.0,6,232.0,112.0
Toyota Celica GT,32.0,4,144.0,96.00
Dodge Charger 2.2,36.0,4,135.0,84.00
Chevrolet Camaro,27.0,4,151.0,90.00
Ford Mustang GL,27.0,4,140.0,86.00
Volkswagen Pickup,44.0,4,97.00,52.00
Dodge Rampage,32.0,4,135.0,84.00
Ford Ranger,28.0,4,120.0,79.00
Chevy S-10,31.0,4,119.0,82.00
